Descripción ,Nombre                                         ,Importe (euros)
CONVENIO DE COLABORACION  ASOCIACON SINDROME DE DOWN DE GRANADA GRANADOWN,ASOCIACION SINDROME DE DOWN DE GRANADA,57600
SERVICIO DE TRANSPORTE ADAPTADO PARA LOS ALUMNOS DE LA UGR.,"AUTOTRANSPORTES MORENO, S.L.","30484,74"
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,C.C. SAN AGUSTIN,"30,24"
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,C.E.E. SAN ANTONIO,"105,84"
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,C.E.I.P. ANDRES MANJON,"156,24"
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,C.E.I.P. P. RUIZ PICASSO,"30,24"
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,C.E.I.P. PRINCIPE FELIPE,"90,72"
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,C.E.I.P. R. DE CASTRO,"206,64"
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,C.E.I.P. SANTA AMELIA,"196,56"
GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION Y HUMANIDADES DE MELILLA -,CC ENRIQUE SOLER,25
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,CC ENRIQUE SOLER,"133,56"
GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION Y HUMANIDADES DE MELILLA -,CEIP ANSELMO PARDO,100
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,CEIP ANSELMO PARDO,"408,24"
GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION Y HUMANIDADES DE MELILLA -,CEIP CONSTITUCION,100
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,CEIP CONSTITUCION,"191,52"
GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION Y HUMANIDADES DE MELILLA -,CEIP ESPAÑA,75
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,CEIP ESPAÑA,"90,72"
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",CEIP FEDERICO GARCIA LORCA,75
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,CEIP FEDERICO GARCIA LORCA,"80,64"
GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION Y HUMANIDADES DE MELILLA -,CEIP HIPODROMO,50
GASTOS DE GESTION CENTROS - PRACTICUM GRADO ED. INFANTIL Y PRIMARIA - F. EDUCACION Y HUM,CEIP HIPODROMO,"118,44"
"GASTOS DE GESTION CENTROS - PRACTICUM MAGISTERIO F. EDUCACION, ECONOMIA Y TECNOLOGIA CEU",CEIP JOSE ORTEGA Y GASSET,175
GASTOS DE GESTION CENTROS - PRACTICUM GRADO MAESTRO ED. INFANTIL Y PRIMARIA  CEUTA - CUR,CEIP JOSE ORTEGA Y GASSET,"236,88"
