Descripción,Nombre,Importe (euros)
"TRANSFERENCIA A LA UNIVERSIDAD DE BOLONIA, ITALIA. PROYECTO ERASMUS MUN",ALMA MATER STUDIORUM UNIVERSITA DI BOLOGNA,85950
AYUDA PROGRAMA EUROPEO,BECAS DIVERSAS,1580
Becas alumnos Programa Erasmus Practicas,BECAS DIVERSAS,148110
BECAS AYUDA ESPECIAL DE LA JUNTA DE ANDALUCÍA,BECAS DIVERSAS,365564
BECAS del programa Europeo Erasmus Mundus External Cooop,BECAS DIVERSAS,5000
Becas Diversas,BECAS DIVERSAS,"3095828,72"
BECAS ERASMUS MUNDUS,BECAS DIVERSAS,"4040117,91"
BECAS ERASMUS MUNDUS GEMMA,BECAS DIVERSAS,197100
BECAS ERASMUS MUNDUS WINDOWS,BECAS DIVERSAS,"34814,05"
Becas programa europeo Tempus Evarech.,BECAS DIVERSAS,1050
BECAS PROGRAMA PIMA,BECAS DIVERSAS,1700
BECAS STAFF PROYECTO PANACEA,BECAS DIVERSAS,2500
JUNTA ANDALUCIA. APROVECHAMIENTO 20% FINAL.,BECAS DIVERSAS,527914
BECARIOS MEC COMPLEMENTO J.A. ORDEN E1. PAISES ABCDE. P,BECAS DIVERSAS,9930
"BECAS JUNTA ANDALUCÍA. AYUDA ESPECIAL. ORDEN E1. PAISES A,B",BECAS DIVERSAS,93588
BECAS APROVECHAMIENTO 12/13. FINAL A TODOS. PAGA JUNTA ANDALUCÍA. ORDEN 1. PAIS,BECAS DIVERSAS,21272
OAPEE. Curso Academico 2013-2014.,BECAS DIVERSAS,37620
"BECAS JUNTA ANDALUCÍA A TODOS, PAÍSES A,BC,",BECAS DIVERSAS,1108128
Central European University (Kozep Europai Egyetem). ,CENTRAL EUROPEAN UNIVERSITY,5000
BECAS DIVERSAS - SEGUROS,"COMPAÑIA EUROPEA DE SEGUROS, S.A.",35685
BECAS DIVERSAS - SEGUROS,"DOMINGO MIR, S.L.","366,67"
BECAS DIVERSAS - SEGUROS GEMMA,"MARSH, S.A.","9542,23"
